Provision type,Ofsted region,Local authority,Sector,Places,Organisation which owns the provider
Residential Special School,East of England,Hertfordshire,Local Authority,20,Hertfordshire County Council
Independent Fostering Agency,London,Redbridge,Private,,Futures for Children Limited
Residential Special School,North West,Lancashire,Local Authority,19,Lancashire County Council
Children's home,South West,Bristol,Local Authority,2,Bristol City Council
Children's home,North West,Lancashire,Private,3,Horizon Care and Education Group Limited
Children's home,"North East, Yorkshire and the Humber",Doncaster,Private,3,Happy Group (uk) Limited
Independent Fostering Agency,London,Hillingdon,Private,,Nationwide Fostering
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,2,Restorative social care services ltd
Children's home,North West,Oldham,Private,3,Oasis Adolescent Services Limited
Children's home,South East,Kent,Local Authority,4,Kent County Council
Children's home,East Midlands,Derbyshire,Local Authority,6,Derbyshire County Council
Children's home,East Midlands,Nottinghamshire,Voluntary,3,Shyne Together Limited
Independent Fostering Agency,North West,Cheshire East,Private,,Three Circles Fostering Limited
Children's home,South East,West Sussex,Private,4,My Choice Children's Homes Ltd
Children's home,"North East, Yorkshire and the Humber",Sheffield,Private,3,Pathway Care Solutions Ltd
Residential Family Centre,South West,Somerset,Private,5,Orchard House Family Assessment Centre Limited
Children's home,West Midlands,Stoke-on-Trent,Local Authority,2,Stoke On Trent City Council
Children's home,West Midlands,Birmingham,Private,3,Positive Pathways Limited
Boarding School,North West,Liverpool,Academy,17,Liverpool College Independent School Trust
Residential Family Centre,West Midlands,Birmingham,Voluntary,10,Dudley Lodge
Children's home,East Midlands,Nottinghamshire,Private,2,Castle Homes Care Ltd
Children's home,South East,Kent,Private,3,Castle Homes Limited
Residential special school (registered as a children's home),South East,East Sussex,Private,11,Mayne Enterprises Limited
Independent Fostering Agency,South East,Slough,Voluntary,,Bridging Gaps Limited
Children's home,South East,Milton Keynes,Private,4,Benjamin Uk Ltd
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,2,Timeout Childrens Homes Ltd
Children's home,East of England,Essex,Private,5,Surecare Residential Ltd
Children's home,South West,Devon,Private,3,Mutual Care Ltd
Residential special school (registered as a children's home),South West,Devon,Local Authority,3,Devon County Council
Children's home,North West,Lancashire,Private,3,Horizon Care and Education Group Limited
Children's home,West Midlands,Shropshire,Local Authority,1,Shropshire Council
Children's home,North West,Lancashire,Private,4,Progress Care and Education Limited
Children's home,South East,West Sussex,Private,5,Child First Ltd
Residential special school (registered as a children's home),East Midlands,Lincolnshire,Private,39,Kisimul Group Ltd
Children's home,South East,Surrey,Local Authority,2,Surrey County Council
Independent Fostering Agency,East of England,Hertfordshire,Private,,Foster Care Associates Limited
Independent Fostering Agency,West Midlands,Worcestershire,Private,,Compass Fostering West Limited
Residential special school (registered as a children's home),"North East, Yorkshire and the Humber",Doncaster,Private,32,Hesley Services Limited
Children's home,East Midlands,Leicester,Private,6,Happy Children Home Limited
Children's home,South West,Somerset,Private,3,Impact For Change Ltd
Children's home,East Midlands,Leicestershire,Private,3,Changing Lives Care Group Ltd
Children's home,North West,Halton,Private,4,Keys Education Ltd
Children's home,East Midlands,Leicestershire,Private,3,T-Junction Children's Services Ltd
Children's home,West Midlands,Birmingham,Private,2,Adecyn Childrens Homes Ltd
Children's home,West Midlands,Worcestershire,Private,4,Solace for Children Ltd
Children's home,North West,Warrington,Private,5,ROC Northwest
Children's home,South West,Devon,Private,3,Blue Elephant Childcare Ltd
Children's home,North West,St Helens,Private,1,Cambian Childcare Ltd
Children's home,North West,Manchester,Private,2,Care Today (Childrens Services) Ltd
Children's home,London,Havering,Private,5,R G CARE LTD
Children's home,"North East, Yorkshire and the Humber",Stockton-on-Tees,Private,15,HUNTERCOMBE YOUNG PEOPLE LTD
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,1,Restorative social care services ltd
Children's home,West Midlands,Herefordshire,Private,4,Keys Education Ltd
Children's home,London,Waltham Forest,Private,9,Mig House Residential Care Home Ltd
Children's home,North West,St Helens,Private,5,Building Bridges Care Homes Ltd
Children's home,West Midlands,Staffordshire,Private,6,Delam Care Limited
Children's home,"North East, Yorkshire and the Humber",Kirklees,Private,3,Keys BR Limited
Independent Fostering Agency,South East,West Sussex,Private,,Time Out Fostering Limited
Children's home,North West,Sefton,Private,7,Mr Jim Buchanan & Mrs Ivy Thompson
Children's home,North West,Rochdale,Private,3,Meadows Care Limited
Children's home,West Midlands,Stoke-on-Trent,Local Authority,2,Stoke On Trent City Council
Children's home,West Midlands,Wolverhampton,Private,4,The Partnership Of Care Today
Children's home,South West,Somerset,Private,4,Keys Cwc Ltd
Independent Fostering Agency,South East,Kent,Private,,Flourish Fostering Limited
Children's home,West Midlands,Birmingham,Private,2,Accalia Care Services Ltd
Children's home,East Midlands,Derbyshire,Private,1,Consistent Quality Support Ltd
Children's home,South West,Devon,Private,1,Idem Living Ltd
Children's home,"North East, Yorkshire and the Humber",North Lincolnshire,Local Authority,6,North Lincolnshire Council
Secure children's home,"North East, Yorkshire and the Humber",Leeds,Local Authority,24,Leeds City Council
Independent Fostering Agency,London,Brent,Private,,Horizon Fostering Services Ltd
Children's home,North West,Rochdale,Local Authority,4,Rochdale Metropolitan Borough Council
Independent Fostering Agency,South East,Brighton and Hove,Voluntary,,Barnardo's
Residential Family Centre,London,Lambeth,Voluntary,4,St .Michael's Fellowship
Residential Family Centre,London,Lambeth,Voluntary,5,St .Michael's Fellowship
Children's home,West Midlands,Staffordshire,Private,4,The Partnership Of Care Today
Children's home,West Midlands,Staffordshire,Private,5,The Partnership Of Care Today
Children's home,North West,Halton,Private,6,Keys Child Care Ltd
Children's home,North West,Tameside,Private,4,Keys Stepping Stones Limited
Children's home,North West,Lancashire,Private,2,Care Afloat Ltd
Further Education College with Residential Accommodation,"North East, Yorkshire and the Humber",Doncaster,Private,9,Doncaster Deaf Trust
Children's home,North West,Stockport,Private,6,The Partnership Of Care Today
Children's home,North West,Stockport,Voluntary,5,The Together Trust
Residential Special School,East Midlands,Nottinghamshire,Voluntary,6,I Can
Children's home,North West,Lancashire,Private,5,Sandcastle Care Ltd
Children's home,"North East, Yorkshire and the Humber",North Tyneside,Local Authority,5,North Tyneside Council
Independent Fostering Agency,East of England,Suffolk,Private,,The National Fostering Agency Ltd
Children's home,East Midlands,Leicester,Local Authority,9,Leicester City Council
Further Education College with Residential Accommodation,East Midlands,Lincolnshire,Voluntary,49,Grantham College
Children's home,London,Haringey,Private,6,
Children's home,South West,Cornwall,Local Authority,4,Cornwall Council
Residential Special School,"North East, Yorkshire and the Humber",Durham,Local Authority,25,Durham County Council
Residential Special School,"North East, Yorkshire and the Humber",Durham,Local Authority,10,Durham County Council
Children's home,"North East, Yorkshire and the Humber",Leeds,Private,3,Pebbles Care Limited
Children's home,West Midlands,Staffordshire,Private,2,Oracle Care Limited
Children's home,West Midlands,Herefordshire,Private,3,Priory Education Services Limited
Children's home,South East,Kent,Local Authority,6,Kent County Council
Children's home,West Midlands,Stoke-on-Trent,Local Authority,2,Stoke On Trent City Council
Children's home,North West,Stockport,Private,4,Choices Home For Children Limited
Independent Fostering Agency,London,Hillingdon,Private,,Regional Fostering Services Ltd
Residential Family Centre,South West,Devon,Private,3,Inclusis Limited
Children's home,North West,Lancashire,Private,1,Cambian Childcare Ltd
Children's home,North West,Lancashire,Private,8,Hexagon Care Services Limited
Children's home,North West,Blackpool,Private,6,Hexagon Care Services Limited
Children's home,"North East, Yorkshire and the Humber",Kirklees,Private,6,Hexagon Care Services Limited
Residential special school (registered as a children's home),"North East, Yorkshire and the Humber",Northumberland,Private,8,Young Foundations Ltd
Children's home,London,Ealing,Private,3,A & S Children's Services LTD
Children's home,London,Brent,Private,4,Blossom Children's Homes Limited
Children's home,East Midlands,Northamptonshire,Private,3,GAC FAMILY SERVICES LIMITED
Children's home,East of England,Essex,Private,5,Harmony Residential Homes Ltd 
Children's home,North West,Blackpool,Private,2,North West Youth Services Limited
Children's home,North West,Bolton,Private,1,Cambian Childcare Ltd
Children's home,"North East, Yorkshire and the Humber",Newcastle upon Tyne,Local Authority,3,Newcastle City Council
Children's home,South West,Dorset,Local Authority,1,Dorset Council
Children's home,"North East, Yorkshire and the Humber",North East Lincolnshire,Local Authority,4,North East Lincolnshire Council
Children's home,London,Waltham Forest,Local Authority,8,London Borough Of Waltham Forest
Children's home,North West,Lancashire,Private,3,Meadows Care Limited
Children's home,West Midlands,Staffordshire,Private,3,Educare Adolescent Services Limited
Children's home,East of England,Suffolk,Private,4,Care Focus Limited
Independent Fostering Agency,London,Newham,Private,,Diverse Care (UK) Ltd
Children's home,East of England,Suffolk,Local Authority,4,Suffolk County Council
Children's home,East Midlands,Leicestershire,Private,3,Inspirations Leicestershire Ltd
Children's home,East Midlands,Derbyshire,Local Authority,5,Derbyshire County Council
Children's home,North West,Cumbria,Private,3,Active Ark Limited
Children's home,South West,Somerset,Private,4,Keys Educational Services Limited
Children's home,South East,Hampshire,Local Authority,4,Hampshire County Council
Children's home,West Midlands,Staffordshire,Private,3,Unity Residential Care Services Limited
Children's home,North West,Cumbria,Local Authority,6,Cumbria County Council
Children's home,"North East, Yorkshire and the Humber",Wakefield,Private,7,Witherslack Group Ltd
Children's home,West Midlands,Warwickshire,Private,7,Witherslack Group Ltd
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,1,Hexagon Care Services Limited
Children's home,South West,Somerset,Private,4,Cambian Childcare Ltd
Children's home,East Midlands,Northamptonshire,Local Authority,5,Northamptonshire Childrens Trust Limited
Children's home,North West,Manchester,Private,2,Care Today (Childrens Services) Ltd
Children's home,North West,Lancashire,Private,2,Guidance Care Limited
Children's home,South East,Hampshire,Private,4,Highlands (Fareham) Limited
Children's home,"North East, Yorkshire and the Humber",Durham,Local Authority,3,Durham County Council
Children's home,East Midlands,Northamptonshire,Private,4,Children & Adolescents Placement Provisions Ltd
Children's home,East of England,Hertfordshire,Local Authority,3,Hertfordshire County Council
Boarding School,South East,Buckinghamshire,Private,100,International School of Creative Arts Limited
Further Education College with Residential Accommodation,South West,Wiltshire,Voluntary,220,Wiltshire College
Children's home,North West,Lancashire,Private,2,Future Focused Ltd
Children's home,East Midlands,Derbyshire,Private,1,Clouds Children's Care Ltd
Children's home,"North East, Yorkshire and the Humber",Rotherham,Local Authority,2,Rotherham Metropolitan Borough Council
Children's home,South East,Surrey,Private,4,Bramley Care Limited
Children's home,East of England,Southend on Sea,Private,6,Kites Children Service's Ltd
Children's home,South West,Somerset,Local Authority,6,Somerset County Council
Children's home,"North East, Yorkshire and the Humber",Hartlepool,Local Authority,8,Hartlepool Borough Council
Children's home,East Midlands,Leicestershire,Voluntary,8,Praxis Care
Children's home,London,Hillingdon,Local Authority,13,The London Borough of Hillingdon
Children's home,West Midlands,Stoke-on-Trent,Local Authority,6,Stoke On Trent City Council
Children's home,"North East, Yorkshire and the Humber",Kirklees,Local Authority,4,Kirklees Council
Secure children's home,East of England,Peterborough,Local Authority,17,Peterborough City Council
Independent Fostering Agency,East of England,Hertfordshire,Private,,Choice Fostering Ltd
Children's home,North West,Oldham,Private,3,Oasis Adolescent Services Limited
Children's home,East Midlands,Northamptonshire,Private,3,Semi-Independent House Ltd
Children's home,East of England,Peterborough,Private,5,Semi-Independent House Ltd
Children's home,"North East, Yorkshire and the Humber",Bradford,Private,7,Witherslack Group Ltd
Children's home,North West,Wirral,Private,4,Apex Childrens Services Ltd
Children's home,"North East, Yorkshire and the Humber",Rotherham,Private,4,Pathway Care Solutions Ltd
Children's home,North West,Lancashire,Private,3,Hexagon Care Services Limited
Independent Fostering Agency,South East,Portsmouth,Private,,South Coast Fostering
Children's home,North West,Cheshire East,Private,3,Horizon Care and Education Group Limited
Children's home,"North East, Yorkshire and the Humber",Stockton-on-Tees,Private,5,Joshs Place Limited
Voluntary Adoption Agency,South East,Buckinghamshire,Voluntary,,Jigsaw Adoption Limited
Children's home,North West,Lancashire,Private,4,Care 4 Children Residential Services Ltd
Children's home,South West,Dorset,Private,4,Potensial Ltd
Children's home,West Midlands,Shropshire,Private,3,Hillcrest Children's Services (2) Limited
Children's home,North West,Lancashire,Private,5,Keys Care Ltd
Boarding School,London,Lewisham,Voluntary,57,Severn Hills Trust
Children's home,North West,Lancashire,Private,5,Frances House Ltd
Children's home,East Midlands,Derbyshire,Private,3,Resolute Care
Children's home,East Midlands,Lincolnshire,Private,3,Esland North Limited
Children's home,North West,Trafford,Private,5,Pure Care Homes ltd
Children's home,West Midlands,Worcestershire,Private,4,Cambian Childcare Ltd
Children's home,North West,Wigan,Private,6,Hexagon Care Services Limited
Children's home,North West,Rochdale,Private,6,Hexagon Care Services Limited
Children's home,North West,Cumbria,Private,8,Witherslack Group Ltd
Children's home,North West,Lancashire,Private,6,Hexagon Care Services Limited
Children's home,West Midlands,Staffordshire,Private,1,Albrighton Care Ltd
Children's home,London,Waltham Forest,Private,6,Care 2 Share Ltd
Children's home,North West,Oldham,Private,2,Dynamic Childcare Limited
Independent Fostering Agency,London,Lewisham,Private,,Nurture Fostering Ltd
Independent Fostering Agency,London,Croydon,Private,,Lika Family Fostering Ltd
Children's home,North West,Lancashire,Private,3,Next Stage 4Life LTD
Independent Fostering Agency,South East,West Sussex,Private,,Compass Fostering South Ltd
Children's home,London,Havering,Private,5,Children Assisted in a Real Environment (care) Ltd
Children's home,West Midlands,Sandwell,Private,3,Motivations Activity Projects Ltd
Independent Fostering Agency,South West,Bristol,Private,,SWIIS Foster Care Limited
Children's home,South West,Dorset,Private,6,Beaufort Care Group
Children's home,South West,Plymouth,Private,1,Cambian Childcare Ltd
Children's home,South East,West Berkshire,Private,2,Amegreen Children's Services Limited
Children's home,"North East, Yorkshire and the Humber",Hartlepool,Local Authority,4,Hartlepool Borough Council
Children's home,North West,Liverpool,Private,2,Supporting Futures Limited
Children's home,North West,Warrington,Private,2,Continuum Support - Care Services Ltd
Independent Fostering Agency,West Midlands,Walsall,Private,,DMR Services Ltd
Children's home,East Midlands,Nottingham,Private,6,Homes 2 Inspire Limited
Children's home,South East,Hampshire,Local Authority,5,Hampshire County Council
Children's home,East Midlands,Leicestershire,Private,3,Horizon Care and Education Group Limited
Children's home,South East,Hampshire,Private,7,Priory Education Services Limited
Children's home,West Midlands,Birmingham,Private,4,Meadows Care Limited
Children's home,South East,Kent,Private,3,Bay Tree House (gravesend) Limited
Children's home,West Midlands,Birmingham,Private,3,Haven Care Group Ltd
Children's home,North West,Liverpool,Private,4,Keys Group Progressive Care & Education Limited
Children's home,North West,Cumbria,Private,5,West Cumbria Care and Support
Children's home,North West,Stockport,Private,4,Crystal Care Solutions Limited
Children's home,West Midlands,Staffordshire,Private,3,Acorn Residential Care Ltd
Children's home,North West,Sefton,Private,2,Pelican Care Group Ltd
Children's home,North West,Lancashire,Private,3,Nurture Childcare Services Ltd
Children's home,North West,Lancashire,Private,2,Sandcastle Care Ltd
Children's home,North West,Salford,Local Authority,3,Salford City Council
Children's home,South East,Surrey,Local Authority,6,Surrey County Council
Residential Special School,North West,Liverpool,Voluntary,20,St Vincents School for the Blind & Partially Sight
Residential Special School,South West,Bath and North East Somerset,Academy,11,The Partnership Trust
Secure children's home,East Midlands,Lincolnshire,Local Authority,12,Lincolnshire County Council
Adoption Support Agency,South West,Wiltshire,Private,,Clinical Partners Limited
Children's home,West Midlands,Coventry,Local Authority,4,Coventry City Council
Children's home,"North East, Yorkshire and the Humber",Gateshead,Local Authority,3,Gateshead Council
Children's home,East of England,Southend on Sea,Private,4,Indigo Children's Care Homes Ltd
Children's home,West Midlands,Dudley,Private,4,ASTON CHILDREN'S CARE LTD
Children's home,North West,Wigan,Private,1,Social Care Services ( clayton ) Ltd
Children's home,East Midlands,Leicestershire,Private,3,Footsteps to Futures Limited
Residential Special School,South East,Surrey,Voluntary,40,The National Centre For Young People With Epilepsy
Children's home,South West,Plymouth,Private,2,Phoenix Childcare Ltd
Children's home,North West,Lancashire,Private,2,Sandcastle Care Ltd
Children's home,North West,Lancashire,Private,1,Connect Care Solutions Limited
Children's home,South West,Devon,Private,1,Blue Elephant Childcare Ltd
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,2,Timeout Childrens Homes Ltd
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,1,Hexagon Care Services Limited
Independent Fostering Agency,West Midlands,Worcestershire,Private,,Child Care Bureau Limited
Children's home,North West,Rochdale,Local Authority,5,Rochdale Metropolitan Borough Council
Boarding School,North West,Cumbria,Academy,53,Keswick School Multi Academy Trust
Children's home,North West,Lancashire,Private,4,Keys Child Care Ltd
Children's home,"North East, Yorkshire and the Humber",Stockton-on-Tees,Local Authority,3,Stockton On Tees Borough Council
Children's home,North West,Wirral,Local Authority,9,Metropolitan Borough of Wirral
Independent Fostering Agency,"North East, Yorkshire and the Humber",Durham,Private,,Foster Cares Limited
Children's home,South East,Hampshire,Private,7,Priory Education Services Limited
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,2,Timeout Childrens Homes Ltd
Independent Fostering Agency,North West,Stockport,Private,,Parallel Parents Ltd
Independent Fostering Agency,West Midlands,Warwickshire,Private,,Quality Fostering Limited
Residential Special School,South West,Wiltshire,Academy,14,Reach South Academy Trust
Residential Special School,South West,Wiltshire,Private,157,
Children's home,North West,Lancashire,Private,4,Bay View Child Care
Boarding School,South East,Kent,Private,10,
Children's home,"North East, Yorkshire and the Humber",Wakefield,Local Authority,2,Wakefield Metropolitan District Council
Children's home,London,Ealing,Private,4,Alicie Enterprises Limited
Children's home,West Midlands,Birmingham,Private,3,Beacon Childcare Limited
Children's home,East of England,Essex,Private,6,Jasper Education And Support Services Limited
Children's Home,North West,Cheshire East,Private,5,Supporting Futures Limited
Children's home,West Midlands,Worcestershire,Private,4,Worcestershire Children First
Children's home,West Midlands,Worcestershire,Private,4,Worcestershire Children First
Residential special school (registered as a children's home),South West,Dorset,Private,68,Cambian Autism Services Limited
Children's home,London,Haringey,Private,4,
Residential Special School,East Midlands,Derby,Local Authority,12,Derby City Council
Children's home,North West,Cheshire East,Private,3,Castle Homes Care Ltd
Children's home,"North East, Yorkshire and the Humber",Bradford,Local Authority,6,City of Bradford Metropolitan District Council
Further Education College with Residential Accommodation,South East,Hampshire,Voluntary,175,Sparsholt College Governing Body
Children's home,South West,Bristol,Local Authority,5,Bristol City Council
Residential Special School,North West,Lancashire,Private,10,Witherslack Group of Schools Limited
Children's home,North West,Manchester,Private,3,Paramount Children's Services Ltd
Children's home,North West,Liverpool,Private,3,Above and Beyond Residential Care ltd
Children's home,London,Redbridge,Private,5,Solace Care Redbridge Ltd
Children's home,West Midlands,Warwickshire,Private,7,Witherslack Group Ltd
Independent Fostering Agency,London,Redbridge,Private,,Sure Start Fostering Agency Limited
Children's home,East of England,Bedford,Private,2,Esland North Limited
Children's home,"North East, Yorkshire and the Humber",Hartlepool,Private,9,HUNTERCOMBE YOUNG PEOPLE LTD
Children's home,West Midlands,Walsall,Private,5,Compass Children's Homes Ltd
Children's home,North West,Lancashire,Private,8,Halliwell Homes
Children's home,East Midlands,Leicestershire,Private,3,Horizon Care and Education Group Limited
Residential special school (registered as a children's home),East of England,Cambridgeshire,Private,29,Aurora Care and Education Opco Limited
Children's home,South East,Buckinghamshire,Voluntary,14,Action For Children
Children's home,East of England,Norfolk,Private,7,Clover Childcare Services Ltd
Children's home,South East,Kent,Private,6,Compass Children's Homes Kent Limited
Children's home,East of England,Suffolk,Private,4,Barnardiston Hall Preparatory School Limited
Residential special school (registered as a children's home),South West,Dorset,Private,60,Cambian Autism Services Limited
Children's home,South East,Kent,Private,3,Ethelbert Specialist Homes Limited
Children's home,South East,Kent,Private,3,Ethelbert Specialist Homes Limited
Residential Special School,East of England,Suffolk,Academy,16,The Ashley School Academy Trust
Children's home,North West,Stockport,Voluntary,2,The Together Trust
Children's home,North West,Stockport,Voluntary,6,The Together Trust
Children's home,London,Croydon,Private,4,McRae Residential Care Services Limited
Children's home,London,Waltham Forest,Private,5,Ja Nailah Limited
Children's home,South East,West Berkshire,Local Authority,6,West Berkshire Council
Children's home,South East,East Sussex,Local Authority,7,East Sussex County Council
Independent Fostering Agency,London,Harrow,Private,,Nexus Fostering Ltd
Children's home,South West,Cornwall,Health Authority,2,Cornwall Partnership NHS Foundation Trust
Children's home,South East,Buckinghamshire,Private,3,Keys Care Ltd
Children's home,East of England,Suffolk,Private,4,The Ryes College Limited
Children's home,"North East, Yorkshire and the Humber",North Yorkshire,Private,6,Roseberry Specialist Care Centres Ltd
Independent Fostering Agency,East of England,Norfolk,Voluntary,,Break
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,2,Gravitas Care Ltd
Residential special school (registered as a children's home),North West,Lancashire,Private,10,ROC Northwest
Children's home,South West,Devon,Private,1,One To One Crisis Intervention Ltd
Independent Fostering Agency,East of England,Cambridgeshire,Private,,To The Moon And Back Foster Care Limited
Residential Family Centre,London,Redbridge,Private,4,Oasis Places Limited
Children's home,"North East, Yorkshire and the Humber",North Yorkshire,Private,2,Cambian Childcare Ltd
Children's home,South West,Devon,Private,2,Cambian Childcare Ltd
Children's home,South West,Torbay,Private,1,Cambian Childcare Ltd
Children's home,South West,Devon,Private,3,Cambian Childcare Ltd
Children's home,South West,Plymouth,Private,2,Phoenix Learning & Care Holdings Limited
Children's home,East of England,Norfolk,Private,4,Cambian Childcare Ltd
Children's home,North West,Cheshire East,Private,4,Crystal Care Solutions Limited
Children's home,West Midlands,Staffordshire,Private,2,Hillcrest Children's Services (2) Limited
Children's home,"North East, Yorkshire and the Humber",Darlington,Local Authority,3,Darlington Borough Council
Children's home,North West,St Helens,Private,1,Crossway Services Limited
Independent Fostering Agency,West Midlands,Warwickshire,Private,,Focus Foster Care Ltd
Children's home,East of England,Suffolk,Private,4,Achieving Aspirations CIC
Children's home,South East,Hampshire,Private,4,Calcot Services For Children Ltd
Children's home,North West,Rochdale,Private,3,Meadows Care Limited
Children's home,West Midlands,Birmingham,Private,2,The Spring Children's And Transitional Care Ltd
Children's home,"North East, Yorkshire and the Humber",Rotherham,Private,5,Rainbows Corner Ltd
Children's home,East Midlands,Derbyshire,Private,4,Ashwood Children's Care Home Ltd
Children's home,"North East, Yorkshire and the Humber",East Riding of Yorkshire,Private,2,Vcare - 24 Limited
Independent Fostering Agency,London,Croydon,Private,,Lotus Foster Care Ltd
Children's home,West Midlands,Shropshire,Private,4,Keys Nhcc Ltd
Children's home,North West,Manchester,Private,2,Onextra Care Ltd
Children's home,East of England,Norfolk,Local Authority,4,Norfolk County Council Children's Services
Boarding School,South West,Somerset,Academy,128,Sexey's School
Children's home,West Midlands,Dudley,Local Authority,4,Dudley Metropolitan Borough Council
Residential Special School,North West,Cumbria,Private,16,Witherslack Group of Schools Limited
Children's home,South West,Wiltshire,Private,4,Wessex College Limited
Children's home,East Midlands,Lincolnshire,Local Authority,11,Lincolnshire County Council
Children's home,North West,Liverpool,Private,6,Carehome Limited
Further Education College with Residential Accommodation,"North East, Yorkshire and the Humber",Northumberland,Voluntary,30,Northumberland College
Residential Family Centre,London,Wandsworth,Voluntary,4,St .Michael's Fellowship
Independent Fostering Agency,North West,Liverpool,Voluntary,,The Adolescent And Children's Trust
Children's home,South West,Devon,Private,2,Cambian Childcare Ltd
Adoption Support Agency,London,Kensington and Chelsea,Voluntary,,The Catholic Children's Society (Westminster)
Children's home,North West,Warrington,Local Authority,3,Warrington Borough Council
Children's home,North West,Rochdale,Private,3,Meadows Care Limited
Children's home,East Midlands,Nottingham,Voluntary,3,Nottinghamshire YMCA
Children's home,West Midlands,Birmingham,Private,3,Nh Care Limited
Children's home,North West,Blackpool,Private,4,Sandcastle Care Ltd
Children's home,West Midlands,Wolverhampton,Private,3,Wrottesley Care Limited
Children's home,London,Wandsworth,Voluntary,9,St Christopher's Fellowship
Children's home,"North East, Yorkshire and the Humber",Gateshead,Private,2,Cambian Childcare Ltd
Children's home,North West,Liverpool,Private,3,Idem Living Ltd
Residential special school (registered as a children's home),West Midlands,Shropshire,Private,15,Bryn Melyn Care Limited
Children's home,South West,Wiltshire,Private,1,Autonomy Plus Limited
Children's home,North West,Lancashire,Private,2,Cambian Childcare Ltd
Children's home,North West,Warrington,Private,7,Courtyard Care Limited
Children's home,West Midlands,Wolverhampton,Private,3,PCF Residential Childcare Ltd
Children's home,West Midlands,Wolverhampton,Private,2,Care Perspectives Ltd
Voluntary Adoption Agency,"North East, Yorkshire and the Humber",Durham,Voluntary,,Barnardo's
Residential Family Centre,London,Redbridge,Private,2,Oasis Places Limited
Children's home,West Midlands,Birmingham,Private,4,ASTON CHILDREN'S CARE LTD
Independent Fostering Agency,London,Bromley,Private,,Ownlife Fostering Limited
Children's home,West Midlands,Staffordshire,Private,8,The Partnership Of Care Today
Children's home,East Midlands,Nottinghamshire,Private,5,Keys BR Limited
Children's home,North West,Warrington,Private,4,Bright Futures Care Limited
Children's home,North West,Rochdale,Private,1,Cambian Childcare Ltd
Children's home,North West,Warrington,Local Authority,2,Warrington Borough Council
Children's home,North West,Liverpool,Voluntary,1,New Start
Children's home,West Midlands,Staffordshire,Private,4,Unity Residential Care Services Limited
Residential special school (registered as a children's home),"North East, Yorkshire and the Humber",Barnsley,Voluntary,8,National Autistic Society
Children's home,South East,Brighton and Hove,Local Authority,5,Brighton & Hove City Council
Independent Fostering Agency,South East,Oxfordshire,Private,,Family Placement.com Limited
Independent Fostering Agency,London,Havering,Private,,Compass Fostering London and Eastern Limited
Children's home,"North East, Yorkshire and the Humber",Wakefield,Local Authority,7,Wakefield Metropolitan District Council
Children's home,London,Barnet,Local Authority,6,London Borough of Barnet
Children's home,North West,Cumbria,Local Authority,4,Cumbria County Council
Children's home,North West,Cheshire West and Chester,Local Authority,3,Cheshire West And Chester Council
Independent Fostering Agency,West Midlands,Warwickshire,Voluntary,,Father Hudson's Society
Children's home,London,Barking and Dagenham,Private,7,
Children's home,North West,Cheshire East,Private,3,Oracle Care Limited
Children's home,North West,St Helens,Private,1,2nd Nurture Ltd
Independent Fostering Agency,West Midlands,Worcestershire,Private,,Clifford House Fostering Limited
Children's home,North West,Lancashire,Private,4,Bay View Child Care
Children's home,"North East, Yorkshire and the Humber",East Riding of Yorkshire,Private,2,Vcare - 24 Limited
Children's home,"North East, Yorkshire and the Humber",Darlington,Private,4,Arronbeth Ltd
Residential special school (registered as a children's home),West Midlands,Staffordshire,Private,12,The Partnership Of Care Today
Residential Special School,"North East, Yorkshire and the Humber",North Yorkshire,Local Authority,29,North Yorkshire County Council
Boarding School,"North East, Yorkshire and the Humber",North Yorkshire,Local Authority,100,North Yorkshire County Council
Children's home,North West,Halton,Private,1,Cambian Childcare Ltd
Secure children's home,"North East, Yorkshire and the Humber",Sheffield,Local Authority,10,Sheffield City Council
Further Education College with Residential Accommodation,South West,Gloucestershire,Private,697,The Governing Body of Hartpury College
Residential special school (registered as a children's home),North West,Cumbria,Private,50,Kedleston (Wings Education) Limited
Residential Family Centre,"North East, Yorkshire and the Humber",Sheffield,Private,12,Progressive Care Limited
Independent Fostering Agency,South West,Bristol,Voluntary,,The Adolescent And Children's Trust
Children's home,North West,Lancashire,Private,3,Partners in Care Limited
Children's home,East of England,Peterborough,Private,8,The Beeches UK Ltd
Residential Special School,East of England,Hertfordshire,Local Authority,9,Hertfordshire County Council
Residential Special School,"North East, Yorkshire and the Humber",East Riding of Yorkshire,Local Authority,18,East Riding of Yorkshire Council
Children's home,East Midlands,Nottingham,Private,4,Pathway Care Solutions Ltd 04004053
Children's home,South East,West Sussex,Private,4,My Choice Children's Homes Ltd
Children's home,South East,Buckinghamshire,Local Authority,6,Buckinghamshire County Council
Children's home,"North East, Yorkshire and the Humber",South Tyneside,Local Authority,5,South Tyneside Council
Residential Special School,South East,East Sussex,Voluntary,130,The Frewen Educational Trust Ltd
